tweet,category
Practice social distancing NOW not AFTER you hear about a local case. NOW.  NOW.  NOW.,3
yeah people this age won't suffer mortality but it's still serious about passing it on to those who will be affected.,3
Covid-19 can be contagious even w/o symptoms.,1
Take care the best you can.,0
Looks like it's time for @realDonaldTrump to be tested for #COVID19 - especially since the public deserves to know if their #POTUS has contracted a dangerous and highly contagious virus. https://t.co/6vL9rqUnou,1
Chicken pox is still 2-3 times more contagious than COVID-19,2
@LFLatMSU @GavinMcCollum @dangeruss04 @SEC @101espn So thatâ€™s 2.5% ,0
As news reports continue to raise alarm bells about Coronavirus and how contagious it can be,2
@MayaDroeschler 4/6,0
 @rosazehen @davidlohner Hat @Der_Postillon am Start https://t.co/B12JWiTrJO,2
@shaneharris Perhaps  it is to make possible that the stupid questions about  IF the 'corona flu' AKA coronavirus,1
"@StormIsUponUs @IBeaverdale So many ""coincidences"" with this ""Corona-thing"" Hmmmm",1
Coronavirus: Exists.,1
Twitter: Let's spam all the trends with it because we are all afraid of corona infections.,0
Iâ€™m in class and we talk about the corona virus and thereâ€™s me trying to hide the fact that Iâ€™m crying over Haseul https://t.co/hcTJCtZ1kP,0
Ok also corona mainly targets those in their 50s and 60s... Is this karma for baby boomers,1
High key over all this corona convo. @usgov can yâ€™all cmon and release the vaccine or cure? Ppl have stuff to do,3
Hope that's not corona,0
@realrobinspears Ok â€œcorona virus news and updatesâ€,0
@JunoxsyOo HAHAHAHAHA IM TYRONE AND FUCK THIS CORONA VIRUS SHIT,0
The Government of India is doing a commendable job containing the #CoronavirusPandemic #CoronaOutbreak. Just take a look at the UK- 460 cases or Italy-12,2
when I said I wanted uni to close because of corona I didnâ€™t actually mean it ðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”,1
I miss racing on the old Tacen and I canâ€™t wait for the day after #corona ðŸ™ #prayfortheworld #besafe #keepcalm #staypositive @ Tacen Whitewater Course https://t.co/XzLXAViDdm,0
Getting Corona doesnâ€™t mean you have to die. ,1
Calm down.,0
@real_defender @realDonaldTrump How is corona going to hurt a bot,4
@Timcast Ever since moving to Florida I've worked from home and had my groceries delivered. Needless human interaction is exhausting to me. Corona-chan has changed nothingðŸ˜,1
@sadgurlky_ ohyes po no one ain't getting coronated by corona virus po hane #nCovFree,0
The Corona Virus is scared of all the hard bastards in Norfolk https://t.co/y9mED4OOWD,2
Corona probably won't kill everyone but if it kills Tom Hanks what's the difference,4
@JaiwalPriya You tagged in that Ringtone meme,0
Even if Corona is on Phase 1 in India but even Large cases happen people will still make memes out of this because of fame!,1
If I get corona I better be quarantined with my friends,0
Literally only 2 cases of corona in Athens but we shuttin down anyway lmFAO,2
Every time i see someone sneeze/cough,0
Corona moving mad,3
Dumb ass making Corona jokes and finna miss the dump truck ðŸ¤¦ðŸ½â€â™‚ï,0
I asked my dad to go play basketball with me and he said he's not leaving the house because of the corona virus ðŸ˜’,0
The corona virus is ruing my weekend!!!,1
Should the UK shut schools,1
COMMUNISTS DECLARED THAT THEY WILL TAKE A SHOWER ONCE A WEEK BECAUSE OF CORONA. THAT'S IT ðŸ‘ŠðŸ‘ #Covid_19,1
@conceitedxo Tell here corona fraud of she. Pack her bag and hand her a mask,1
so our perfomance task in one ofo our subjects is a musical,0
"@ykomska ""Monkey uprising"" was not on my list of likely Corona outcomes",3
@RaheemKassam Wow! How many times did AOC touch her face as she was rambling about the Corona Virus?,4
Guys should really utilize this corona time to spend quality time with their girl. The whole â€œimma bout to go watch the game with my homeboysâ€ ainâ€™t gonna cut it anymore,1
I actually kinda want to get corona. Would be kinda cool to say that I had it,1
@OllyRhodess Probably cancelled if Leicester players are confirmed with Corona,1
sammis more worried about wup closing than catching corona virus :ss,0
how tf they gonna handle the hs seniors situations with all this corona virus shit,3
corThe liquor store was playing if today was your last day by Nickleback as I walked past the Corona display and now I hate them even more.,1
maybe if I drink this hand sanitizer the corona virus wonâ€™t get to me,0
I wonder how much attention the alcohol brand Corona is paying to the virus. And what moves they are making to avoid losing sales.,4
wow I now have the day off and get to start at my new store tomorrow thanks corona :),0
All these younglings are about to go to Florida for spring break and bring back the corona,1
This is exactly why corona gonna spread more and I hope it affects ppl like him https://t.co/MmRb85SyJQ,1
dont you dare coronaðŸ,0
I had a cheerful thought this morning. People are staying home due to the pandemic,1
The only reliable screening technique for the corona virus https://t.co/8TCzd6rXuo,1
Trying to find supplies for work....  Donâ€™t cough on me,0
PSA: If you cough or sneeze into your elbow,2
@nccouragetrades @julieertz @ChristenPress Credits for pic: *cough* me *cough*,0
boomers: state of emergency quarantine everythingðŸ,0
@tuborgchallenge @Monkeycone Heads up - I have had a cough since Wednesday. Not as bad as it was - will see how the night progresses. #Nada,0
Woke up with a cough and trying to do the right thing,0
@oneLOVE172345 @XJfisher74 Hooping Cough ring a bell??,4
@KittyTrill He is thank you. The high fever lasted 24 Hours,3
Naw. They donâ€™t care. You answer those calls mother fucker. Mute if you need to cough https://t.co/k1Bf3M5z83,0
COVID-19 Update from PM. Those with â€˜high tempâ€™ or â€˜new continuous coughâ€™ should stay at home for 7 days.Anyone who has come into contact with someone diagnosed with Coronavirus must stay at home & contact @stmaryswxm immediately.Pls all adhere to this advice,2
Next person to cough near me is getting a roundhouse kick to the dome piece #staysafekids,0
#SB272 passes the Senate. It prohibits minors from buying some types of cough medicine,2
Tuh.. cough cough ðŸ˜· https://t.co/UCfawhGZBt,2
 the world is one cough away from ending  now is not the time to be blessing us with vocals even if we've waited years for it and it kills me to say it https://t.co/q0oNTbNwg3,1
@holylocksleys Iâ€™m off Tuesday Thursday and weekend Iâ€™m all yours ! Cough @muldersglasses cough,1
Itâ€™s crazy it took a virus of this magnitude for most of you grimy MF to sanitize yourselves. And not sneeze and cough out in the open. Iâ€™m happy I have a ocd issue with sanitizing.  #CoronavirusPandemic,1
I coughing just... not normal anymore??? I went in the bus and most of the people in the back had masks on then some guy went over to sit down,3
 @thehill Cool. I'm in DC.  I need to pick up some cough drops so I do not cause a disturbance while working the camera,0
To help protect you and our other clients ,0
If you are feeling unwell or have any symptoms such as a cough  high temperature or shortness of breath we ask you do not attend your appointment. https://t.co/fViu9HWpQ1,3
if a guest even looks like they might cough I will spray them directly in the face with Lysol,0
@EricMertz_KC @AsheSchow Hmmm..,0
But asymptomatic people will not expel droplets that far because they will not cough...,1
I HAVE A COUGH IM GOING ON A WORLD TOUR TO WIPE ALL OF YALL OUT|,0
*cough* https://t.co/6amGSOvdid,0
Seriously if an eviction happens anywhere in the US we find that landlord and cough,0
I donâ€™t know why Hannam acting like he already didnâ€™t put a ba- ,0
My Face after the 2nd sneeze and 3rd cough https://t.co/XnRtps1EyP,0
me smoking cigarette after cigarette to make my cough worse and get quarantined https://t.co/hA6iXIMamu,0
Most of us probably wonâ€™t die from the corona virus,0
 @theadrianmojica @TheEricBautista @jozef_montes Boa I will cough on your shirt,0
Cough Etiquette: Why Itâ€™s So Important https://t.co/MZF3vTfKap via @clevelandclinic,0
@NewMalden19 You can get an empty seat either side of you too if you cough loudly ðŸ˜,0
@PeterXinping Since Iâ€™m half,0
@Foxtrot_Cop We couldn't be that lucky,0
Don't Cough on Me Coron... https://t.co/FAr2y6kN8N via @LibertarianTees,0
Mane somebody just told me i got that corona cough smh i hate it here,0
They also help if you donâ€™t have insurance! If youâ€™re experiencing any of the 3 symptoms : cough ,0
Every time I cough I'm convinced I'm away to get a 2 week holiday,0
So afraid to cough in public rn but Iâ€™m dying ðŸ˜©,3
So if I call out today cuz I got a bad cough itâ€™s lawful considering whatâ€™s going on rn right,4
"Can somebody please define ""continuous cough""? Cough every 5 seconds",4
My director just sent a text out that read â€˜if someone on site has a cough send them homeâ€™ ðŸ™„#Covid_19,0
Common signs of infection include respiratory symptoms,2
i swear im not sick bro i just didnt chew my granola bar properly it was just a tiny cough bro,0
My mum has a cough and is self isolated yikes,3
"@Maccabcafc ""I saw a player taking a strepsil but I thought he just had a cough Jeff""",0
@nothankshunny not cough in your face omgggg chas ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜,0
Cough cough https://t.co/SxUn5GJMMS,0
@nycsouthpaw @MrJonCryer AND COUGH/SNEEZE INTO YOUR ELBOW https://t.co/vCqPLkAagB,0
"Bitches say ""let's pray for the coronavirus to stop"" then get mad when I tell them to cover their mouth when they cough/sneeze",0
i got sent home from school today with a high temperature and a cough and now the news is saying i need to self isolate?? iâ€™ve done half a day on my own and iâ€™m already bored.,4
so since my post that my employee had covid symptoms and domestic travel to an area with a known outbreak,0
@JoeBiden What we need is for people to take common sense steps. Wash your hands,1
@stephenpwright Isnâ€™t that the area we sneeze and cough at ðŸ¥º,4
Things to do to stay calm...,0
@InFluEnza1918 @RivaloWolf You know,0
@raymondhelton Cough to the elbow.,0
@CarmineSabia It's being politicized by the DemonRats and the MSM to incite panic and fear. What to do? STAY INSIDE IF YOU FEEL BAD,1
@Samantha2Live Canâ€™t take any risk can you... ðŸ˜• I was admitted to hospital for 4 days when I was on chemotherapy ( 10years ago) all it was,0
@fuckmarco5 cough,0
@ally19red @jenanmoussa How the hell do you cough into your elbow?,4
Have two of my best signs finishing up this week. Sure would be great to have some nice @stickermule stickers to slap on the back of them *cough cough* pick me https://t.co/1Ss9W5MFRG,1
@ANeoMulti Don't worry,1
Ok F this Im working from home. I donâ€™t even want to touch the hand sanitizer dispenser in this place,1
I am now at the point where,0
At the script with a fucking cough,0
If anyone asks how we plan to pay for actually good programs Iâ€™m going to shove this in their face after I cough in their mouth https://t.co/ALSyOcNp8k,0
People tryna hold in their cough & sneeze so they wont get sent home looking like: https://t.co/rgQbtqbETH,0
Itâ€™s getting to the point you are feart to cough or say anything cos folk looking at you funny. Jeesus what am I meant to do Iâ€™m ill every day of my life so how will I know if itâ€™s my normal problems or the coronavirus|,1
im finna have a million cases of â€œcough and fluâ€ today in the ER ðŸ˜’,0
@KathyBurke Smokers cough it up better.  Get it off yer chest doll.,1
@TheTwoon Stay home and keep track of symptoms. Covid 19 does not come with a runny nose,1
Me Entering the room When the wife has a cough #coronavirus #Corona #Covid_19 #CoronaVirusCanada #CoronavirusPandemic @PromotionHorror @NonprofitHorror @FANGORIA @DreadCentral @halloweenmovie #HalloweenKills #CoronaOutbreak #horrorthread #HorrorCommunity #horror https://t.co/RMfTxzu6e0,1
I was feelin sick so I called my doctor! He told me thereâ€™s two tell tale signs to know if itâ€™s a cold or corona so I thought Iâ€™d share. ,2
aunty just because you donâ€™t THINK you have coronavirus doesnâ€™t mean you actually donâ€™t!!!!! plz cover ur mouth when u cough anD STAY HOME,1
Totally agree,0
@nyloxed I can cough in a bag for you,0
I just wanna skate again ðŸ˜ž I see my homies too ðŸ˜­,0
My throat has started hurting and I have a slight cough and as if my anxiety wasn't already high enough I'm now convinced I'm developing coronavirus,3
@perfumegenius @DuncMcKay About 5 seconds in to every covid-19 sation I feel like washing my hands and cough out loud..,0
Corona virus is a cough not diarrhea so why yâ€™all taking all the toilet paper lmao ðŸ˜‚,4
I have a dry cough and Iâ€™m scared.,3
@DigisectChris This same shit just happened to me like right now!,1
Please donâ€™t pretend to fake cough on me like coronavirus has gotten to you,0
Iâ€™ve had a bit of dry cough & chest tightness with muscle aches today. No fever yet. Very mild symptoms but I definitely have some sort of respiratory infection. Got bounced around by the health department and the VA. Canâ€™t get tested. ,3
NHS 111 currently ask whether youâ€™ve had a fever,4
@kenklippenstein @_whitneywebb Your phone hears you cough,0
The government and the NHS have updated the advice on #COVID19.,2
If you have: a new continuous cough OR a high temperature (37.8 degrees or higher) you should stay at home for 7 days.,2
Read the full guidance now: https://t.co/euaEf311Dg https://t.co/aBGJaNcXIr,2
Cough and inshallah to get the PL cancelled and stop the Scousers winning the title~,1
Latest advice around self isolation for those with a high temperature and new contagious cough comes as kiddo comes home with a temperature and gross cough #greattiming #itsacommoncold #mightmakeherwearamask,2
My fear if I accidentally cough in public. https://t.co/uuT8ewtNky,3
Give all the players the opportunity to heal properly rest properly and properly socialize them with teams and officials.,1
 @SkyNews Fuk off ! I always have a cough and feel rough after a Friday night,1
@Baddiel What about having an alarm that is just the noise of a cough and sneeze?,4
@Kris_Sacrebleu @jmacjupiter Nothing they can do,1
I just hear you cough,0
Gutted to lose my half marathon. I havenâ€™t been fit because of this cough that wonâ€™t go away (just a cough so no isolation needed).,1
@tarajago AB doctors gearing up for a war with covid,2
Ennis Badminton & Tennis Club have cancelled tonight's planned open night and two further events. Clubhouse is locked,2
We are taking action to ensure Peoples Health plan members affected by COVID-19 have the support and resources they need.,2
For more information visit https://t.co/wvEhR8iyUH. https://t.co/mvSdP7vBPl,2
The people still at work even if non-essential: health care workers.,0
"#marketing #ethics: This type of marketing email is why people hate marketing. ""Hope all is well. With the rapid spread of COVID-19 (the coronavirus)",1
This response could not have been managed more poorly than it has been by the Trump administration. Seriously,1
 @JDawgDo9 Honestly,0
If #CoronavirusPandemic forces you to stay home enjoy on https://t.co/PZqZAxv5zf our friends Prey by Peak Low @peaklowmusic via @manillaprltd remember: On https://t.co/tmYHgdAL43 The best way to fight #covid_19 ,2
Coronaviruses are a family of hundreds of viruses that can cause fever,0
 @riegodia COVID-19,0
While YTube has much covid-19 hysteria,1
Maternity wards will be under pressure in December baby boom looming ðŸ˜¬#Covid_19,1
2 Singaporeans who attended religious event in Malaysia confirmed to have COVID-19; MUIS closes mosques,2
Chicomms giving large-scale aid to a Western country.,1
When other schools have a slightest chance of covid â€œtaking no chances weâ€™re closing down for safetyâ€,1
When our a staffâ€™s family member was confirmed positive at our school â€œnah yâ€™all are fine just wash your handsâ€,1
if the Miami Marlins bar fans from showing up to home games because of COVID-19,3
Iberia Parish COVID-19 patient hospitalized in Lafourche Parish https://t.co/3aLyjsIv1V,2
@WardoT23 I read that they can get a respiratory coronavirus,3
.......if the interventions could have been brought in a week earlier,1
Don't spread it. It's fake and dangerous. Covid-19 is a virus and all viruses are nanoparticles not micro. This is totally wrong information. https://t.co/Vj7aVrvMhE,1
Someone just got confirmed with the COVID-19 disease in my county. Iâ€™m STAYING HOME.,3
Social distancing will get us a lot of reading done. ,0
A huge fun fair in my hometown Hamburg is cancelled. I totally get why but I will have to explain to my son now why he can't go on the ride he is looking forward to for one year (He is finally old enough). Yeah. #coronadeutschland #Covid_19 #haveaplaguetheysaid,0
X-rays and CT scans reveal how... https://t.co/HUAEsPvoVS,0
NEWS -- Mayor postpones March 22,2
my heart goes out to everyone affected or those whose loved ones are affected,3
Please read the Presidentâ€™s message for all available details: https://t.co/QebQmpGWka https://t.co/oLFvBfL04h,2
@MattRacquet Check this out Matt https://t.co/OXdz1wwCMI,0
Total India coronavirus cases at 74 after Leh man tests positive for Covid-19 https://t.co/vgTTnJ7YSJ https://t.co/3mFJNZfBTe,2
Since it's predominantly a danger to the elderly I'd like to formally propose a nickname for COVID-19 ,1
I know penicillin was discovered on some mold...well I just found this thing in the back of my file cabinet at work (itâ€™s been missing for multiple years). Let me know who I can get this to so that we can figure out a cure for COVID-19. @WHO @CDCgov @realDonaldTrump https://t.co/BqXnPJhtZp,0
@Kenotic1 @black_mixed The only reason it's bad in the US is because the US isn't setup for epidemics everything has been atomized for profit pursuits it is not as easy to have a proper response to Covid,1
https://t.co/KeSYCLYMWT . China eats anything that moves w/o decontamination thus SARS,1
Headed back to the prison today to offer Mass and make visits,0
"Inside my mind right since the start of COVID-19""",0
Months later my expectations are right as if like from the movie/s…,0
 @yashar I remember reading a CNN article about it in early January and it gave details about what coronaviruses are in general and how differently COVID-19 was presenting than other viruses in that category. And then I wondered why it wasn't contained early on,2
https://t.co/ikCfdtRr8T,0
I was told today that Federal Government employees canâ€™t telework until â€œword comes down from the White Houseâ€. Get ready DC,3
COVID-19 needs to go big or go home. stop spreading so slowly. kill us all or just don't exist|,0
The only thing giving me hope amidst the criminal dereliction of the Trump Admâ€”which napped on the job and squandered months to get ahead of COVID-19â€”is that we can catch up because of the amazing doctors and scientists at places like MGH. Thanks to you and your docs @jasonwasfy. https://t.co/fFFnB1Van6,1
@zombies62 @CashewIsLazy @AresL4VZ @zClutx @CT_Scoops @charlieINTEL Covid-19 is 10-50x more deadly than the 2009 flu virus. This is only the beginning with no end in sight.,1
Our prime minister is doing a press conference atm about covid and a new policy. I'm watching it because I think it's important. After that I'll be live.,2
Sorry for the delay! But I do think it's important see how fast it's spreading over here.,1
 @hultmark_mark The flu death rate is .1 Covid 19 is 1%. If we don't act it can get really ugly.,3
Democrats are always left cleaning up republicans mess,1
 #COVD19 #covid_19 #CoronavirusPandemic #coronavirus #stockmarketcrash #Trumpdemic,0
Tracking The Business Impact Of COVID-19 https://t.co/pqkKTRotvY via @Forrester,2
@tunajibu @MOH_Kenya @Min_TourismKE @ForeignOfficeKE Am bookmarking this tweet to retweet while tagging you on that day those visitors come bearing gifts in the form of Covid-19,0
Covid-19 world tour,0
Just to clarify,0
@neeratanden She couldnâ€™t even handle her own health crises.  She couldnâ€™t Epstein every suspected victim of Covid-19.   @RonColeman @HaMeturgeman,0
LIFE IN THE US DURING COVID-19  Before the President finished his statement on travel suspension people had started packing their bags to leave for airports to come back to the US #ChaosAct,1
Everything about COVID-19 is making the class war in this country BLATANTLY apparent and I can't fathom that there are some people who A) haven't noticed/can't tell why and/or B) are in the 99% yet don't give enough of a rat's ass to do anything about it|,1
#Covid_19 The time to be quibbling and dragging feet on arena closures is almost past. ,1
We need to look ahead now to the rapid expansion of testing support to our healthcare system and unprecedented national actions to create social distancing immediately. https://t.co/UpUS3ciNKj,1
Covid https://t.co/kTw6POxqxn,0
A perfect metaphor for the time we are living in. #Covid_19 #coronavirus https://t.co/5NhiDTmqxT,1
 @beoruriel1 Hi all affected passengers have been notified of any cancellations by email and SMS - if you have not received these then your flight is operating as normal. Weâ€™ve set up a special COVID-19 page to answer all questions on the situation: https://t.co/wAIchsUJpG,2
Covid-19: How Long Does the Virus Live in Body? - Bloomberg https://t.co/JWopCARvtY,4
COVID-19 Prevention Tips If having cough and fever to stay at home and avoid crowded places and also to maintain a distance of 3 feet from others,2
@LA_Swiftness Coming to TV this spring,0
@bebs730 @sproutlin @neneOkposuogu @eodjugo1 My brother I've not been following whatever crisis both countries have. My attention has been on the covid 19 epidemic.,3
Global markets plummet on news of major travel bans and continuing increase in COVID-19 cases https://t.co/lt0Esh0GUh https://t.co/4yGA28276n,2
@Deloitte are you aware that in Madrid,0
@WaltDisneyWorld due to the COVID-19 Iâ€™ve canceled my trip to WDW for my sons bday. We are pass holders and weâ€™re looking forward to picking up our magnet. Is there any option to have them mailed to us instead?,4
Yes to FINGER No to COVID https://t.co/j4CKpvt61e,1
First question at the check in desk...are you having trouble breathing? Chills or fevers? Any international travel? Been around anyone with a confirmed case of COVID-19?,4
@Acosta While at the same time the Republican Senate will kill the House covid-19 aid bill.,1
Why are you encouraging gatherings amid this #Covid_19 pandemic dont you care for people https://t.co/j9C32DQrHK,3
Howâ€™s that Obamacare or private insurance working out for those with #Covid_19 #CoronavirusPandemic?,4
 @SecPompeo What was NOT said last night. COVID-19 can infect Americans in other infected countries this travel ban wouldnâ€™t stop them from coming back into the US.,1
NBA suspending its season no traveling cannot leave home. Everyone is gonna be bored so that just means tons of babies 9 months from now?  A whole generation.  The COVID generation.,1
Please note ... #Covid19 #Directive #Covid_19 #COVID2019IRELAND #CoronaVirusUpdate https://t.co/UILW2HQEOG,2
For years this administration has defunded and dismantled public health infrastructure. We're seeing how exactly how dangerous that is. #COVID19 #coronavirus ,1
COMMUNISTS DECLARED THAT THEY WILL TAKE A SHOWER ONCE A WEEK BECAUSE OF CORONA. THAT'S IT ðŸ‘ŠðŸ‘ #Covid_19,1
Statement from the Raptors confirming that staff and players have gone into self isolation after being exposed to a Utah Jazz player who tested positive for COVID-19. #Raptors WeTheNorth https://t.co/MHdki9HMVp,2
If you are not a health care professional or got your information from verified international health sites. Abstain from giving any kind of recommendations or opinions about the #Covid_19 That's the best way to help now. #ShutUp and stay home.,2
CDC interim guidance for event planners regarding #COVID19 and mass gatherings. https://t.co/4GZZXwRWci,2
Important information - keep updated on our response to the ongoing COVID-19 Coronavirus here: https://t.co/e6mT9TSt1T,2
the way this government will kill its citizens before covid-19 does,1
Do you think the #Coronavirus is a completely bad thing? Here is a short thought: #COVID19 Is Driving Us Forward https://t.co/DRi5Zxht9G via @LinkedIn,4
What ideas are out there for organizing in our communities in response to covid-19? How do we protect most vulnerable and make sure they have access to goods and services they need without putting themselves at risk? How do we support those who can't afford to take unpaid leave?,3
Shit just got serious #Covid_19 https://t.co/rqujBk4j58,0
COVID-19 ka lang! WE HAVE GOD!! https://t.co/eKi1TucQ9V,0
Iâ€™m kinda upset that we didnâ€™t care about Chinese people when they were under lockdown from COVID-19,1
Covid 19 Outpatients program will be Medicate and Self Quarantine where IF NEEDED anyone with Covid19 can get meds OUTSIDE a designated Pharmacy Medical Center etc. via Doctor/Nurse Practitioner PROVEN ANTIVIRALS easily with no RED TAPE .,1
HHS say they are being very vigilant with the cancer patients that were seen by the doctor before she tested positive for the novel coronavirus.,2
  @seagullnotes Hi.Effective immediately we are waiving the out-of-pocket costs associated with COVID-19 testing for our members and increasing the availability of telemedicine options to reduce additional exposure.- HH,2
6 months from now we gonna see quite a number of tweets quoting this regarding getting ghosted because of COVID-19 https://t.co/zlEmlS7zsp,0
What if COVID-19 is a reason para people will show their humanity and help each other no matter what their raise are and God's way para makita iyang creations having world peace again as what people use to have way back then.,3
since reducing the number of people on each bus and subway car reduces the likelihood of COVID-19 spreading on public transportation.  Only those who have no other option should take public transportation at this time.  #SocialDistancing #SocialDistancingNow #Boston,0
To everyone who isnâ€™t worried about COVID-19 Do you have a parent whoâ€™s in their 60â€™s with an autoimmune disease who CANNOT GET THE CORONAVIRUS because they will pass away from it? No? I didnâ€™t think so. I do. I love my mom and I donâ€™t want anything to happen to her...,2
What if COVID-19 is a reason para people will show their humanity and help each other no matter what their raise are and God's way para makita iyang creations having world peace again as what people use to have way back then.,4
Three confirmed cases of Coronavirus in Fife now. #CoronaVirusUpdate https://t.co/qrFaDeRWlg,0
Maybe the Mayan Calendar was just off by a few years when the world ends #Covid_19,3
COVID-19 Data Visualization with ECharts and Leaflet https://t.co/v41ZdXGnBJ via @YouTube,2
Daniel Amartey is likely one of the 3 Leicester players to have suspected coronavirus (COVID 19) as leaks have shown #lcfc,0
@SecPompeo @realDonaldTrump 2010 Obama The Centers for Disease Control and Prevention (CDC) estimates that swine flu infected nearly 61 million people in the United States and caused 12,1
Reminder that the president made huge cuts to the very expertise which could have helped us https://t.co/NNHnwGbzyi and as a result,1
@blynch78 @dukelamma @TinaMcGugan @SykesCharlie More people dying in cars is completely irrelevant to a pandemic. We donâ€™t know this disease. We donâ€™t have immunities,1
@WarsontheBrink @NavroopSingh_ There are many evangelist in India who can cure any disease. We will send them. @noconversion,1
@ntvkenya @rhamanjumaaJ @OleItumbi @MarkMasai Coronavirus(COVID19) is a respiratory disease affecting the world. There are no cases in Kenya. It spreads via a cough or sneeze.,1
@realDonaldTrump Ok 1. Status of Test Kits - get it done 2. Open up Testing - Today 3. Talk to Biden or Obama and get a pandemic team in place - today 5. Get a medical team in place,1
@JohnnyRayGable @chuckwoolery Sure. Bernie convinced a Chinese town to contract a potentially deadly disease and infect the world with it. Yup. That seems plausible.,1
Some people asked me meaning of epidemic & Pandemic,0
@shelbyswords @BrotherNature I know dude thereâ€™s so much misinformation being spread itâ€™s hard to keep it straight. Washing your hands is important and drinking an excess of water is only going to help you if you get the disease. Just stay cleans and ,3
Stay up to date with the latest in preventative measures by the #CDC. Know the right steps to take and how to prevent the spread. For additional information,2
The amount of precaution thatâ€™s be taken for a disease thatâ€™s supposedly like the â€œfluâ€. Someoneâ€™s lying,1
@megynkelly Ummm. They call themselves the Center for Disease Control lady!ðŸ¤·ðŸ¾â€â™‚ï,1
Kidney/liver transplant warrior,0
Wild how many people are both economic and infectious disease experts at the same time,4
maltobon @tropicodelrey @BernieSanders Or not sick enough that i will be hungry for over a Week just to see a Doctor.,0
If I lived for an entire year in Rienow hall and spent a ton of time my freshman year in Burge hall and made it out without a lifelong disease Iâ€™m not worried about the Coronavirus,1
i quite literally have sleepy bitch disease,1
For Gods sake @PMOIndia put all priorities aside & let us fight this together as a Nation. The country is more than willing to fight this intangible disease creating this nightmare. ,1
@IndoOfelme @LeftyMcLeftFace @BernieSanders Calling Jewish people disease-ridden rodents was a tried-and-true method of anti-semites throughout human history,1
@SherryMeurer @JenniferMostre1 @JoeBiden He watched. They went through it with a fine tooth comb.,1
@stefanosciacca8 @stallfortime Nature is one big lab thatâ€™s tinkering with virus evolution nonstop. Periodic disease outbreaks are as long as human history and significantly predate test tubes,1
"Disease no longer happens ""over there"". #Norway is carefully shutting down vectors for contagion",1
@LaurenWellbank I can't say I've been there,0
@milkydreamstar @narumaos @rutiIe I see Iâ€™m not alone with this rare disease,0
Man if we just renamed Global Warming to some disease/virus sounding name than maybe some people will start taking it seriously and hustling to take actions to improve the outcomeðŸ¤”ðŸ¤” just a shower thought ðŸ’€ðŸ’€ðŸ’€,0
@MisterCups you stay safe man.. don't go anywhere lol. there are two people who can't catch this disease.. you and patrick mahomes.,3
"AMNSMALFJFN DEANS BADGE IS STOLEN FROM.A BLACK COP ""I have the Michael jackson skin disease"" SHUT UPPPPPPPP",0
@MailOnline Animals carry a lot of disease.  No wonder a lot of viruses come from that part of the world.  Have they been vacinated for rabies?,2
Scientist who claimed coronavirus came from SPACE says prevailing winds are spreading the disease https://t.co/JSpeaWIj0z,2
@kevinkwc and cover your mouth while coughing or sneezing...thank you for this post,0
Recognizing #Alzheimerâ€™s Disease: Early Warning Signs & Diagnosis https://t.co/wseKFuQvxv,2
@propublica Rare disease families have been living with this sort of BS for years.,1
Yâ€™all shoulda been worshiping yâ€™all god not when thereâ€™s a life threatening disease going around ðŸ˜’ðŸ˜’,1
@D_Dolese2020 @themamamaven @ThePerezHilton Diabetes is a genetic disease vaccines don't cause it. Diabetes comes from the mother's side. My father was a diabetic,1
@pbhushan1 Jordanian Islamic scholar Ahmad Al-Shahrouri poo poohs fear off #CoronavirusPandemic. ,2
@GoodMicWork Gotta postpone it at least. The masses canâ€™t suffer to appease the few. This is about stoping the spread of this disease Wrestling should be number 8000 of things that matter in the big scheme of things. We must protect the most vulnerable,0
I'd rather take every precaution under the sun to retard the spread of the disease. Just about every country on earth is doing this apart from Britain https://t.co/EOFFQhKnKP,1
@LamerLand @YourMarkLubbers @Anonwatch47374 @LeeCamp @AEGISAllianceTM @An0nAKn0wledge @azrael2600 @TrutherbotPyrat @PuckArks @DaPeaple @lbox327 Dark? Not really. Unfortunately the elderly will suffer the most due to their more acceptable to contract the d,0
@RysteerRyan The only thing positive is that they didn't officially cancel wrestlemania and the other events on that weekend at least not yet depending on the situation with the disease,1
i know you're not supposed to crack your back but i have a disease called i have to. sometimes i feel like I've just barely avoided k*ll!ng myself on accident tho you think I'd learn but I dont,1
i could not work in a more perfect environment for to catch every disease thatâ€™s ever existed and iâ€™m ready. iâ€™m sleepy and i donâ€™t like being yelled at by old men every day. sneeze on my face so i can have a vacation please iâ€™m literally begging you just spit in my mouth,3
 @SaketGokhale @sudhirchaudhary Jordanian Islamic scholar Ahmad Al-Shahrouri poo poohs fear off #CoronavirusPandemic.,1
@realDonaldTrump You do know it's a airborne disease,1
@JZarif I donâ€™t want to see good ppl die from this disease,3
@JeriahAU @bendelcastillo @crackofthewhit @alexalucina People also donâ€™t realize how many are in fact immunocompromised. Do you consider people with organ transplants,4
@Scratticus_ Paladin due to the Immunity to Disease (I hope),3
@RmSalih If this is the mindset of these imbeciles I wish one day a disease spread out all over the world and only Israel has the antidote for that. This Earth will get rid off lot of human scums. Ignorance is a bliss for some people,1
